ssid,bssid,rssi,noise,channel,time_utc,location
The Cloud,6c:d6:e3:64:75:6c,-55,-93,132,12:47:59,6.02
eduroam,6c:d6:e3:64:75:6f,-55,-93,132,12:47:59,6.02
kcldevnet,6c:d6:e3:64:80:18,-77,-92,161,12:47:59,6.02
SLaMFT,6c:d6:e3:63:28:1b,-68,-92,153,12:47:59,6.02
eduroam,6c:d6:e3:64:80:1f,-77,-92,161,12:47:59,6.02
PLOCAL,6c:d6:e3:64:75:65,-43,-90,11,12:47:59,6.02
kcldevnet,6c:d6:e3:5d:a5:58,-73,-92,64,12:47:59,6.02
PLOCAL,6c:d6:e3:63:28:1a,-68,-92,153,12:47:59,6.02
kcldevnet,6c:d6:e3:64:54:f8,-90,-92,56,12:47:59,6.02
kcldevnet,6c:d6:e3:63:28:18,-68,-92,153,12:47:59,6.02
KINGSWAP,6c:d6:e3:64:75:6d,-55,-93,132,12:47:59,6.02
eduroam,6c:d6:e3:63:94:70,-60,-90,1,12:47:59,6.02
SLaMFT,6c:d6:e3:64:4d:4b,-72,-95,36,12:47:59,6.02
KINGSWAP,6c:d6:e3:62:41:dd,-46,-92,161,12:47:59,6.02
PLOCAL,6c:d6:e3:61:b6:3a,-92,-92,112,12:47:59,6.02
SLaMFT,6c:d6:e3:61:b6:3b,-93,-92,112,12:47:59,6.02
SLaMFT,6c:d6:e3:62:41:db,-46,-92,161,12:47:59,6.02
govroam,6c:d6:e3:61:b6:3e,-93,-92,112,12:47:59,6.02
The Cloud,6c:d6:e3:63:8e:a3,-72,-90,11,12:47:59,6.02
SLaMFT,6c:d6:e3:64:75:6b,-55,-93,132,12:47:59,6.02
KINGSWAP,6c:d6:e3:05:49:dd,-67,-92,112,12:47:59,6.02
KINGSWAP,6c:d6:e3:64:4d:4d,-72,-95,36,12:47:59,6.02
The Cloud,6c:d6:e3:62:41:dc,-46,-92,161,12:47:59,6.02
KINGSWAP,6c:d6:e3:63:28:1d,-68,-92,153,12:47:59,6.02
PLOCAL,6c:d6:e3:64:54:fa,-91,-92,56,12:47:59,6.02
PLOCAL,6c:d6:e3:64:75:6a,-55,-93,132,12:47:59,6.02
